event_id,event_type,timestamp,user_id,session_id,product_id
E00000001,view_product,2024-02-27T06:56:33,U000001,eec78b93-f599-404d-86f7-2facdfbd5174,P00063
E00000002,view_product,2024-02-27T06:56:33,U000001,eec78b93-f599-404d-86f7-2facdfbd5174,P00076
E00000003,view_product,2024-02-27T06:56:33,U000001,eec78b93-f599-404d-86f7-2facdfbd5174,P00004
E00000004,view_product,2024-02-27T06:56:33,U000001,eec78b93-f599-404d-86f7-2facdfbd5174,P00061
E00000005,view_product,2024-02-27T06:56:33,U000001,eec78b93-f599-404d-86f7-2facdfbd5174,P00002
E00000006,add_to_cart,2024-02-27T06:57:03,U000001,eec78b93-f599-404d-86f7-2facdfbd5174,P00076
E00000007,view_product,2024-02-27T14:54:03,U000001,c43551c8-0d44-4e7f-97f0-d33c0ce4fa18,P00061
E00000008,view_product,2024-02-27T14:54:03,U000001,c43551c8-0d44-4e7f-97f0-d33c0ce4fa18,P00030
E00000009,add_to_cart,2024-02-27T14:54:33,U000001,c43551c8-0d44-4e7f-97f0-d33c0ce4fa18,P00030
E00000010,view_product,2024-01-14T05:00:06,U000001,48521c45-c360-449b-9ffb-9121248c184b,P00068
E00000011,add_to_cart,2024-01-14T05:00:36,U000001,48521c45-c360-449b-9ffb-9121248c184b,P00068
E00000012,view_product,2024-01-03T21:00:34,U000001,51eca422-8fb4-431f-89a7-34c5f9d1876b,P00091
E00000013,view_product,2024-01-03T21:00:34,U000001,51eca422-8fb4-431f-89a7-34c5f9d1876b,P00001
E00000014,view_product,2024-01-03T21:00:34,U000001,51eca422-8fb4-431f-89a7-34c5f9d1876b,P00009
E00000015,view_product,2024-01-03T21:00:34,U000001,51eca422-8fb4-431f-89a7-34c5f9d1876b,P00013
E00000016,view_product,2024-01-03T21:00:34,U000001,51eca422-8fb4-431f-89a7-34c5f9d1876b,P00049
E00000017,view_product,2024-01-12T04:37:08,U000001,3a386348-867c-4b8c-b6e2-ff8fe1692e77,P00087
E00000018,view_product,2024-01-12T04:37:08,U000001,3a386348-867c-4b8c-b6e2-ff8fe1692e77,P00086
E00000019,view_product,2024-01-12T04:37:08,U000001,3a386348-867c-4b8c-b6e2-ff8fe1692e77,P00026
E00000020,view_product,2024-01-12T04:37:08,U000001,3a386348-867c-4b8c-b6e2-ff8fe1692e77,P00090
E00000021,add_to_cart,2024-01-12T04:37:38,U000001,3a386348-867c-4b8c-b6e2-ff8fe1692e77,P00087
E00000022,view_product,2024-01-18T18:36:20,U000001,55ad1e7b-4cf3-41d5-b270-3ae3d4b0429f,P00038
E00000023,view_product,2024-01-18T18:36:20,U000001,55ad1e7b-4cf3-41d5-b270-3ae3d4b0429f,P00049
E00000024,view_product,2024-01-18T18:36:20,U000001,55ad1e7b-4cf3-41d5-b270-3ae3d4b0429f,P00075
E00000025,view_product,2024-01-18T18:36:20,U000001,55ad1e7b-4cf3-41d5-b270-3ae3d4b0429f,P00013
E00000026,add_to_cart,2024-01-18T18:36:50,U000001,55ad1e7b-4cf3-41d5-b270-3ae3d4b0429f,P00038
E00000027,view_product,2024-01-03T12:43:25,U000002,10c7b8cb-55e7-4857-bca6-9cb467411a17,P00084
E00000028,view_product,2024-01-03T12:43:25,U000002,10c7b8cb-55e7-4857-bca6-9cb467411a17,P00060
E00000029,view_product,2024-01-03T12:43:25,U000002,10c7b8cb-55e7-4857-bca6-9cb467411a17,P00099
E00000030,view_product,2024-01-03T12:43:25,U000002,10c7b8cb-55e7-4857-bca6-9cb467411a17,P00087
E00000031,view_product,2024-02-24T21:04:35,U000003,9419cb5a-04a9-4be3-af2c-37d5ac9ea554,P00010
E00000032,view_product,2024-02-24T21:04:35,U000003,9419cb5a-04a9-4be3-af2c-37d5ac9ea554,P00062
E00000033,view_product,2024-02-24T21:04:35,U000003,9419cb5a-04a9-4be3-af2c-37d5ac9ea554,P00020
E00000034,view_product,2024-01-29T10:26:26,U000003,1e4d109d-8a81-487a-9c75-87388f2d4c9b,P00001
E00000035,view_product,2024-01-29T10:26:26,U000003,1e4d109d-8a81-487a-9c75-87388f2d4c9b,P00075
E00000036,view_product,2024-01-23T15:34:36,U000003,1aecda2a-11f2-4adf-ad88-f499549051a5,P00042
E00000037,add_to_cart,2024-01-23T15:35:06,U000003,1aecda2a-11f2-4adf-ad88-f499549051a5,P00042
