session_id,user_id,events_count,first_ts,last_ts
0039c61f-7a74-42cb-a255-d301a69c653e,U000372,1,2024-02-18T00:22:19,2024-02-18T00:22:19
0080220a-ff7d-4036-8705-46fb34b39ae5,U000297,4,2024-01-27T19:01:54,2024-01-27T19:02:24
00805df1-1244-4331-8d57-8b0f1e0f1e89,U000336,4,2024-02-09T17:52:19,2024-02-09T17:52:19
00ff4617-c946-4ff9-8673-90e244e6d209,U000401,1,2024-02-02T07:30:24,2024-02-02T07:30:24
011c4b10-7b5c-4da9-8f6c-2817876f5efe,U000496,3,2024-02-19T17:45:33,2024-02-19T17:45:33
018d4cb1-8cd7-415f-8f41-36f891a8041c,U000441,7,2024-01-04T08:38:04,2024-01-04T08:43:04
01a08e4b-79e3-4592-87eb-ad937f1c9220,U000292,1,2024-02-02T07:39:04,2024-02-02T07:39:04
01a44ec5-1c96-4c40-aacb-2b2594fa1f21,U000496,6,2024-01-21T13:54:50,2024-01-21T13:55:20
01aa12f9-9853-474b-ba84-d68e96c43f17,U000228,5,2024-02-23T10:44:11,2024-02-23T10:44:11
01d172ef-e67b-4593-a542-1fbfdf827ae4,U000402,5,2024-01-08T23:05:25,2024-01-08T23:05:25
01e5762f-ca4b-4bc0-aaf5-2388f1c95a2e,U000415,1,2024-01-14T09:38:04,2024-01-14T09:38:04
01ef71f1-96bb-425c-9835-6d105abba3c9,U000158,3,2024-01-25T10:42:38,2024-01-25T10:42:38
02288644-b1aa-4f64-a8c8-b988ca1d3faf,U000373,3,2024-02-15T08:31:07,2024-02-15T08:31:07
022fa386-93aa-451c-90d6-69f07e030a5f,U000381,2,2024-02-25T15:19:21,2024-02-25T15:19:21
02571df0-4758-4736-94c5-7f8a3bf42045,U000098,2,2024-02-23T14:17:30,2024-02-23T14:17:30
028037e5-e8af-49b5-b666-51753c13c604,U000149,3,2024-01-28T21:26:32,2024-01-28T21:26:32
02808b82-ed8e-41d2-b385-f7353a12098d,U000133,3,2024-01-05T10:47:46,2024-01-05T10:52:46
02a531ba-faec-464c-982e-b6acd7205d7d,U000029,5,2024-02-05T13:18:54,2024-02-05T13:18:54
03445834-637b-46fc-af4f-fb99bf0f1532,U000370,3,2024-01-27T05:31:11,2024-01-27T05:31:11
0351ef81-23af-4119-bcd0-5d9b388e8b83,U000489,4,2024-01-03T18:18:37,2024-01-03T18:23:37
03f9eebe-aba3-49b9-9094-6283913ae84f,U000024,5,2024-01-26T12:55:01,2024-01-26T12:55:01
04cec591-62f4-455a-bd19-72c31bb4583c,U000484,6,2024-02-27T07:27:20,2024-02-27T07:32:20
04f9dd3e-f529-4600-b0aa-365de7da134d,U000050,6,2024-01-12T15:09:43,2024-01-12T15:10:13
050e9abb-c01c-433a-b9e3-65e2ceb482b6,U000227,3,2024-02-08T01:05:16,2024-02-08T01:05:16
0512700d-ecde-4369-99c1-dcfefaad58dd,U000202,3,2024-01-23T15:38:46,2024-01-23T15:38:46
053bd948-4247-48c8-8227-b4a9586b813f,U000453,4,2024-02-28T04:42:52,2024-02-28T04:42:52
05a59f2d-da6c-453f-81ce-a98629d23d24,U000453,3,2024-02-23T20:34:02,2024-02-23T20:34:02
05a5e169-7771-41d3-a1fd-8bc6da308bb8,U000119,4,2024-01-09T21:43:06,2024-01-09T21:43:06
05e68f98-2265-4de0-ac21-3318664f09be,U000414,3,2024-02-22T06:17:09,2024-02-22T06:17:39
0671b409-7647-465d-b39e-56d997804ed0,U000335,2,2024-01-05T19:47:07,2024-01-05T19:47:07
06f82cfd-8283-4ffa-b114-84cd009824b0,U000247,2,2024-01-06T03:43:34,2024-01-06T03:43:34
07113486-4b8a-4129-9399-923ad08ba54e,U000269,3,2024-01-21T14:23:31,2024-01-21T14:23:31
073195e4-cb8b-4f68-85ca-f593dfebcbf2,U000027,2,2024-02-20T03:22:41,2024-02-20T03:22:41
0747a74b-3eca-4d58-8094-6ebb2a5b200b,U000051,5,2024-01-23T07:13:35,2024-01-23T07:13:35
0763c2d0-dd2e-4a61-89c8-0442cabcfbe8,U000294,5,2024-01-22T10:42:31,2024-01-22T10:42:31
07800fe8-245f-403d-99de-7a5d635f0e55,U000437,4,2024-01-06T11:34:52,2024-01-06T11:34:52
078c1d87-2998-4697-a682-d9fb1440ad88,U000176,3,2024-02-10T13:17:07,2024-02-10T13:17:37
07998aab-6095-409e-a457-c1400f4b6a18,U000191,1,2024-01-11T03:41:37,2024-01-11T03:41:37
07da15e8-dff5-411f-8388-ca6a14c99012,U000472,4,2024-01-15T00:56:52,2024-01-15T00:56:52
0822c918-fabb-4c9c-bc92-e1f731550a5e,U000272,3,2024-01-27T09:58:49,2024-01-27T09:58:49
0822e77c-2f4f-4e0d-9dfc-ae82861974d1,U000476,3,2024-01-30T03:30:40,2024-01-30T03:30:40
0829c04f-1ee1-45bc-941d-9cfbd4951a06,U000404,5,2024-02-12T02:22:35,2024-02-12T02:22:35
086d1c66-ec7a-4f8f-aaad-6530139fd443,U000391,6,2024-01-18T23:12:50,2024-01-18T23:13:20
0872e44f-cb9d-44a2-b618-8901e6501960,U000199,4,2024-02-05T06:40:41,2024-02-05T06:40:41
087ade36-aa51-4e8f-a098-05273d6f349b,U000094,2,2024-01-23T13:32:40,2024-01-23T13:33:10
092a912d-72ee-4ae9-a98f-626c10ae7c12,U000181,4,2024-02-13T23:38:55,2024-02-13T23:38:55
09315cea-2647-41a6-9e50-1fa360472e9a,U000145,7,2024-02-21T05:51:31,2024-02-21T05:56:31
093ab414-6dfc-4149-802f-e9a886f1b3be,U000400,2,2024-02-21T11:11:41,2024-02-21T11:11:41
098b6151-cfb5-4339-aa92-062e07133a9d,U000393,5,2024-02-20T17:08:09,2024-02-20T17:08:09
09b56a8d-fdfb-457b-bc70-cd9b478d58b7,U000153,6,2024-02-06T12:17:08,2024-02-06T12:22:08
0a0b3f76-c9f4-4e77-b89c-9919dbff6496,U000445,5,2024-01-27T03:39:22,2024-01-27T03:39:22
0a1351df-b154-4e5e-b78c-8d40b6991060,U000110,3,2024-01-03T13:42:07,2024-01-03T13:42:07
0a1fd02b-fede-4b8f-9b30-3394390c8959,U000282,5,2024-02-07T12:10:07,2024-02-07T12:10:07
0a293553-a7b8-4e21-a115-58923333203b,U000195,4,2024-01-07T11:00:40,2024-01-07T11:05:40
0a30650d-a07d-437a-a5f9-c895b2d6a7db,U000259,2,2024-02-22T06:58:34,2024-02-22T06:58:34
0a4901cf-0aba-4eac-97e8-00a2d0bfe9aa,U000010,3,2024-01-05T02:18:49,2024-01-05T02:19:19
0a527a4e-cf48-458f-a30d-126c3b12febd,U000051,6,2024-01-19T09:53:12,2024-01-19T09:53:42
0aaff50f-449a-4aee-9df9-789ddf92af8f,U000020,3,2024-02-05T12:44:56,2024-02-05T12:44:56
